id,total,name,bez,stark_sinkend,leicht_sinkend,kein_starker_trend,leicht_steigend,stark_steigend,search,bbox,center
01001,0,Flensburg,ks,0,0,0,0,0,flensburg kreisfreie stadt,"9.3572,54.7519,9.5067,54.8371","9.4404,54.7897"
01002,0,Kiel,ks,0,0,0,0,0,kiel kreisfreie stadt,"10.0326,54.2508,10.2187,54.4329","10.1341,54.3265"
01003,2,Lübeck,ks,0,0,2,0,0,lübeck kreisfreie stadt,"10.5548,53.7681,10.9684,53.9941","10.7276,53.8725"
01004,0,Neumünster,ks,0,0,0,0,0,neumünster kreisfreie stadt,"9.9257,54.0175,10.0583,54.1499","9.9847,54.0809"
01051,27,Dithmarschen,kr,1,5,19,1,1,dithmarschen kreis,"8.6789,53.8775,9.4444,54.379","9.1073,54.1313"
01053,48,Herzogtum Lauenburg,kr,5,23,19,0,1,herzogtum lauenburg kreis,"10.235,53.3598,10.9549,53.8275","10.6019,53.589"
01054,8,Nordfriesland,kr,0,0,7,1,0,nordfriesland kreis,"8.2786,54.262,9.3272,55.0588","8.896,54.6155"
01055,8,Ostholstein,kr,2,3,2,0,1,ostholstein kreis,"10.4175,53.8796,11.3129,54.5361","10.8204,54.1902"
01056,26,Pinneberg,kr,1,5,14,1,5,pinneberg kreis,"7.8691,53.5576,9.9847,54.193","9.726,53.7163"
01057,5,Plön,kr,1,2,2,0,0,plön kreis,"10.0161,54.0548,10.7293,54.4359","10.3636,54.2434"
01058,23,Rendsburg-Eckernförde,kr,4,6,11,1,1,rendsburg-eckernförde kreis,"9.3041,54.0089,10.1994,54.647","9.7818,54.2918"
01059,11,Schleswig-Flensburg,kr,0,0,8,3,0,schleswig-flensburg kreis,"9.0624,54.2716,10.0432,54.887","9.5116,54.6276"
01060,23,Segeberg,kr,1,5,13,1,3,segeberg kreis,"9.7514,53.6472,10.5636,54.1077","10.1409,53.9199"
01061,12,Steinburg,kr,0,6,5,0,1,steinburg kreis,"9.1984,53.7077,9.8643,54.0998","9.5143,53.9245"
